task,taskSettings,findings,name,complianceRuleCalc,is_enabled,tpaAdditionalParams,apps,status,owner,presets,action,type,id,description,actions,severity,category
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Idaho Data Breach Notification Law,"{'bigidQuery': 'field IN (""classifier.Idaho Phone Number (Narrow)"", ""classifier.Idaho ZIP Code"", ""classifier.Idaho ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235794e3e49f1e4fe2cbc4,"Idaho's Data Breach Notification Law requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Idaho Data Breach Notification Law
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Illinois Personal Information Protection Act,"{'bigidQuery': 'field IN (""classifier.Illinois Phone Number (Narrow)"", ""classifier.Illinois ZIP Code"", ""classifier.Illinois ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235794e3e49f1e4fe2cbc6,"Illinois's Personal Information Protection Act requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Illinois Personal Information Protection Act
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Indiana Disclosure of Security Breach,"{'bigidQuery': 'field IN (""classifier.Indiana Phone Number (Narrow)"", ""classifier.Indiana ZIP Code"", ""classifier.Indiana ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbc8,"Indiana's Disclosure of Security Breach requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Indiana Disclosure of Security Breach
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Iowa Data Breach Notification Law,"{'bigidQuery': 'field IN (""classifier.Iowa Phone Number (Narrow)"", ""classifier.Iowa ZIP Code"", ""classifier.Iowa ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbca,"Iowa's Data Breach Notification Law requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Iowa Data Breach Notification Law
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Kansas Protection of Consumer Information,"{'bigidQuery': 'field IN (""classifier.Kansas Phone Number (Narrow)"", ""classifier.Kansas ZIP Code"", ""classifier.Kansas ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbcc,"Kansas's Protection of Consumer Information requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Kansas Protection of Consumer Information
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Kentucky Data Breach Notification Law,"{'bigidQuery': 'field IN (""classifier.Kentucky Phone Number (Narrow)"", ""classifier.Kentucky ZIP Code"", ""classifier.Kentucky ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbce,"Kentucky's Data Breach Notification Law requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Kentucky Data Breach Notification Law
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Louisiana Database Security Breach Notification Law,"{'bigidQuery': 'field IN (""classifier.Louisiana Phone Number (Narrow)"", ""classifier.Louisiana ZIP Code"", ""classifier.Louisiana ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbd0,"Louisiana's Database Security Breach Notification Law requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Louisiana Database Security Breach Notification Law
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Maine Data Breach Notification Law,"{'bigidQuery': 'field IN (""classifier.Maine Phone Number (Narrow)"", ""classifier.Maine ZIP Code"", ""classifier.Maine ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbd2,"Maine's Data Breach Notification Law requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Maine Data Breach Notification Law
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Maryland Personal Information Protection Act,"{'bigidQuery': 'field IN (""classifier.Maryland Phone Number (Narrow)"", ""classifier.Maryland ZIP Code"", ""classifier.Maryland ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbd4,"Maryland Personal Information Protection Act requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Maryland Personal Information Protection Act
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}",,Massachusetts Safeguards Regulation,"{'bigidQuery': 'field IN (""classifier.Massachusetts Phone Number (Narrow)"", ""classifier.Massachusetts ZIP Code"", ""classifier.Massachusetts ZIP+4 Code near Term"", ""classifier.Email"", ""classifier.Credit Card"", ""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US SSN"", ""classifier.Explicit Password"", ""classifier.Explicit Password (Narrow)"",""classifier.US MBI"", ""classifier.Common Hashed Passwords"", ""classifier.Medical Condition (English)"", ""classifier.Medication (English)"", ""classifier.Medical Treatments (English)"", ""classifier.Username and Explicit Password"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.US Full Name"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Individual Taxpayer Identification Number (ITIN)"", ""classifier.Email and Cleartext Password"", ""classifier.US Bank Account Number"", ""classifier.US Passport Number"", ""classifier.US SSN near Term"", ""classifier.US Driver License Number"", ""classifier.ITIN near Term"", ""classifier.US SSN (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Credit Card (Narrow)"",""classifier.Health Plan Beneficiary Number"", ""classifier.Medical Record Number (MRN)"", ""classifier.US Full Name (Wide)"", ""classifier.MD::Social Security Number - MD"", ""classifier.MD::Driver\'s License Number - MD"", ""classifier.MD::Passport Number - MD"", ""classifier.MD::Patient ID Number - MD"", ""classifier.MD::Health Plan Beneficiary Number - MD"", ""classifier.MD::Medical Record Number (MRN) - MD"", ""classifier.NER::Full Name"", ""First Name"", ""Given Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Medical Treatment Information"", ""Medical Diagnosis Information"", ""Email"", ""Credit Card Number"", ""Social Security Number (SSN)"", ""Password"", ""Medical History"", ""Medical Images"", ""Health Insurance Identification"", ""Medical Treatment"", ""Medical Condition"", ""Medication"", ""CVV"", ""PIN"", ""Bank Account Number"", ""Passport Number"", ""Driver’s License Number"", ""Health Plan Beneficiary Number"", ""Medical Record Number"")', 'maxFindings': '1'}",False,,,UNVIOLATED,bigidadmin,[],,catalog,61235795e3e49f1e4fe2cbd6,"Massachusetts's Safeguards Regulation requires certain entities to provide notice upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information. This includes such information as a social security number, a driver's license number, a financial account number, and a password.",[],medium,Massachusetts Safeguards Regulation
